ZeitInSec,ZeitInNanoSec,axisQMsr_LBR_iiwa_7_R800_1[0],axisQMsr_LBR_iiwa_7_R800_1[1],axisQMsr_LBR_iiwa_7_R800_1[2],axisQMsr_LBR_iiwa_7_R800_1[3],axisQMsr_LBR_iiwa_7_R800_1[4],axisQMsr_LBR_iiwa_7_R800_1[5],axisQMsr_LBR_iiwa_7_R800_1[6],,,,,,,
1618435713,494000000,84.0051116,79.3402823,-79.7325355,86.9026012,-168.395412,97.0335923,10.7372853,,,,,,,
1618435713,544000000,84.0064815,79.3400832,-79.7325801,86.9024914,-168.395473,97.0334721,10.7372853,,,,,,,
1618435713,594000000,84.0060043,79.3371856,-79.7292808,86.9013172,-168.392935,97.0328198,10.7372853,,,,,,,
1618435713,644000000,83.9956119,79.3244655,-79.7155582,86.8840961,-168.360624,97.0256581,10.7372235,,,,,,,
1618435713,694000000,83.9588455,79.2907718,-79.6807487,86.8519989,-168.294327,96.9869176,10.7370004,,,,,,,
1618435713,744000000,83.8836097,79.2198482,-79.6094989,86.7718467,-168.14182,96.8995797,10.7327775,,,,,,,
1618435713,794000000,83.7489242,79.0927226,-79.4829021,86.632365,-167.87104,96.7444768,10.7116906,,,,,,,
1618435713,844000000,83.5406646,78.8960227,-79.2838367,86.4191032,-167.45395,96.5059876,10.6880254,,,,,,,
1618435713,894000000,83.2498599,78.6246055,-79.0111251,86.1180504,-166.875888,96.1765832,10.6514134,,,,,,,
1618435713,944000000,82.8835517,78.2790717,-78.6629786,85.7392006,-166.14439,95.7503205,10.5952699,,,,,,,
1618435713,994000000,82.4420146,77.8596618,-78.2413886,85.2802433,-165.25402,95.2306637,10.5432942,,,,,,,
1618435714,44000000,81.9146812,77.3647414,-77.7445285,84.7393657,-164.204079,94.6337765,10.4783719,,,,,,,
1618435714,94000000,81.3162215,76.7960101,-77.1768271,84.1166641,-162.997203,93.9403916,10.4027207,,,,,,,
1618435714,144000000,80.6328376,76.1528155,-76.5301066,83.4149776,-161.632113,93.1499871,10.3082314,,,,,,,
1618435714,194000000,79.8746677,75.4375815,-75.8110102,82.6285282,-160.111583,92.2723065,10.2109475,,,,,,,
1618435714,244000000,79.0343406,74.6456183,-75.0137049,81.7657409,-158.436734,91.3062889,10.1060521,,,,,,,
1618435714,294000000,78.1279479,73.7924784,-74.1527098,80.8283187,-156.61775,90.2655163,9.99445847,,,,,,,
1618435714,344000000,77.1583358,72.875223,-73.2285365,79.817707,-154.672653,89.1345047,9.86925553,,,,,,,
1618435714,394000000,76.1437861,71.920027,-72.2687743,78.7793719,-152.639782,87.9743416,9.7392598,,,,,,,
1618435714,444000000,75.1038478,70.9315905,-71.2836268,77.6867301,-150.557285,86.7580623,9.60663766,,,,,,,
1618435714,494000000,74.0568747,69.9345263,-70.2787417,76.5954341,-148.464521,85.5420612,9.47398461,,,,,,,
1618435714,544000000,73.0092288,68.9452212,-69.2851313,75.5163466,-146.352921,84.3351856,9.33836182,,,,,,,
1618435714,594000000,71.9642779,67.9590231,-68.2936049,74.4373416,-144.238009,83.1291133,9.20205238,,,,,,,
1618435714,644000000,70.9199793,66.9727152,-67.3065725,73.3608153,-142.141329,81.9204662,9.06687248,,,,,,,
1618435714,694000000,69.8728827,65.9869497,-66.3140539,72.2805674,-140.047236,80.7110568,8.93155525,,,,,,,
1618435714,744000000,68.8244299,64.9995706,-65.3211885,71.1991316,-137.951478,79.4997489,8.80014503,,,,,,,
1618435714,794000000,67.7764029,64.0091326,-64.3238943,70.1129992,-135.853716,78.2897628,8.66771515,,,,,,,
1618435714,844000000,66.7277544,63.0154329,-63.3212373,69.0253321,-133.754228,77.0791106,8.53651092,,,,,,,
1618435714,894000000,65.6786802,62.0256918,-62.3296079,67.93967,-131.654483,75.8688567,8.40575988,,,,,,,
1618435714,944000000,64.6304231,61.0386526,-61.3382085,66.8553881,-129.553738,74.6569892,8.26194541,,,,,,,
1618435714,994000000,63.5824373,60.0520734,-60.3476777,65.7701689,-127.452289,73.4472434,8.12943656,,,,,,,
1618435715,44000000,62.5350008,59.0601316,-59.3523919,64.6863744,-125.353104,72.2366015,7.99311339,,,,,,,
1618435715,94000000,61.4879659,58.0679082,-58.3566392,63.6026933,-123.253595,71.0266051,7.85795066,,,,,,,
1618435715,144000000,60.4410856,57.0790219,-57.361786,62.5194105,-121.15269,69.8151426,7.73373305,,,,,,,
1618435715,194000000,59.3928697,56.090455,-56.3678357,61.4348642,-119.052483,68.6050947,7.59449851,,,,,,,
1618435715,244000000,58.3452203,55.1024098,-55.3748914,60.3508878,-116.949772,67.3955618,7.45707328,,,,,,,
1618435715,294000000,57.2960019,54.1128987,-54.3792485,59.2670659,-114.849312,66.1842333,7.32180067,,,,,,,
1618435715,344000000,56.2477929,53.1239335,-53.3850716,58.1834638,-112.748814,64.9740515,7.18865668,,,,,,,
1618435715,394000000,55.2002397,52.1341271,-52.3886117,57.0994256,-110.648217,63.7636636,7.05502173,,,,,,,
1618435715,444000000,54.1518487,51.144434,-51.3946408,56.0155213,-108.548131,62.553214,6.92547232,,,,,,,
1618435715,494000000,53.104316,50.1542843,-50.399046,54.9315999,-106.447721,61.3420743,6.79590575,,,,,,,
1618435715,544000000,52.0564847,49.1646462,-49.4047696,53.8471909,-104.347217,60.1328641,6.66246649,,,,,,,
1618435715,594000000,51.0082551,48.174651,-48.4109669,52.7635613,-102.246389,58.9208902,6.52602316,,,,,,,
1618435715,644000000,49.9587758,47.1843331,-47.4150116,51.6784794,-100.149006,57.7114396,6.39125867,,,,,,,
1618435715,694000000,48.9136052,46.1950623,-46.421003,50.5946198,-98.046393,56.4993009,6.25711904,,,,,,,
1618435715,744000000,47.8639027,45.204377,-45.4247696,49.5099808,-95.9449172,55.2895036,6.12499471,,,,,,,
1618435715,794000000,46.8163151,44.2143612,-44.4311592,48.4263203,-93.844551,54.0789063,5.9890492,,,,,,,
1618435715,844000000,45.7680134,43.2234699,-43.4350185,47.3419731,-91.7418666,52.8689683,5.85345387,,,,,,,
1618435715,894000000,44.7204189,42.2335399,-42.4416038,46.2586353,-89.6422255,51.657935,5.71783109,,,,,,,
1618435715,944000000,43.6723507,41.2434417,-41.446215,45.1740822,-87.5413045,50.4481617,5.58293958,,,,,,,
1618435715,994000000,42.6262394,40.2537281,-40.451482,44.0909607,-85.4403944,49.2375851,5.45287175,,,,,,,
1618435716,44000000,41.5762108,39.2640419,-39.4569824,43.0063801,-83.3398469,48.0270565,5.31871838,,,,,,,
1618435716,94000000,40.5297699,38.2741256,-38.4619094,41.9223213,-81.2391511,46.8165142,5.18440366,,,,,,,
1618435716,144000000,39.4803146,37.2843364,-37.4680072,40.8377441,-79.1379444,45.605378,5.05088887,,,,,,,
1618435716,194000000,38.4325931,36.2949695,-36.4719936,39.7539875,-77.0364686,44.3950005,4.91628918,,,,,,,
1618435716,244000000,37.3843532,35.3064094,-35.4780742,38.6695751,-74.9366132,43.1843002,4.78225941,,,,,,,
1618435716,294000000,36.3366454,34.316833,-34.482112,37.5854476,-72.8359613,41.9735931,4.645023,,,,,,,
1618435716,344000000,35.2896209,33.3273528,-33.4882716,36.5008739,-70.7354413,40.7622165,4.50754627,,,,,,,
1618435716,394000000,34.2410411,32.3374366,-32.4925704,35.4172889,-68.6354596,39.5528141,4.38036579,,,,,,,
1618435716,444000000,33.1935256,31.3475478,-31.4979918,34.3328525,-66.5330828,38.3416847,4.24926456,,,,,,,
1618435716,494000000,32.1441459,30.3581088,-30.5039523,33.248931,-64.433623,37.1318599,4.11430438,,,,,,,
1618435716,544000000,31.0987452,29.3679385,-29.5086184,32.1642886,-62.3333227,35.9212661,3.9763779,,,,,,,
1618435716,594000000,30.04849,28.3777613,-28.5151213,31.0806933,-60.2327917,34.7109538,3.84155849,,,,,,,
1618435716,644000000,29.002595,27.3872031,-27.5188433,29.9962672,-58.1329583,33.5007274,3.70591853,,,,,,,
1618435716,694000000,27.9517424,26.3971735,-26.5256827,28.9126032,-56.032224,32.2898692,3.56968806,,,,,,,
1618435716,744000000,26.9051264,25.4070616,-25.5309599,27.8288809,-53.9318248,31.0797011,3.43958247,,,,,,,
1618435716,794000000,25.8579886,24.4180311,-24.5379435,26.744829,-51.8304533,29.8689871,3.31001247,,,,,,,
1618435716,844000000,24.8105074,23.4285681,-23.5424482,25.6609041,-49.7313835,28.6584277,3.17635691,,,,,,,
1618435716,894000000,23.7603621,22.4396955,-22.5471315,24.5756712,-47.6313578,27.4467627,3.03781588,,,,,,,
1618435716,944000000,22.7128363,21.4508127,-21.5528723,23.491197,-45.5300468,26.2369242,2.90304454,,,,,,,
1618435716,994000000,21.6659319,20.4603678,-20.5575144,22.407303,-43.4299442,25.0263235,2.77077944,,,,,,,
1618435717,44000000,20.6181864,19.4704584,-19.5635469,21.3250673,-41.3276883,23.8167048,2.63381083,,,,,,,
1618435717,94000000,19.5690847,18.4785852,-18.5679178,20.2417742,-39.227443,22.6049746,2.49777605,,,,,,,
1618435717,144000000,18.5204603,17.4871,-17.5751451,19.1581445,-37.1272086,21.3954348,2.37041705,,,,,,,
1618435717,194000000,17.4736555,16.49694,-16.5796808,18.0740411,-35.026705,20.1848341,2.23712198,,,,,,,
1618435717,244000000,16.4252988,15.5080846,-15.5857683,16.9903429,-32.9270364,18.9739725,2.10444834,,,,,,,
1618435717,294000000,15.379136,14.5208669,-14.5905786,15.9050893,-30.826011,17.7643434,1.9701851,,,,,,,
1618435717,344000000,14.3291898,13.5339513,-13.5957528,14.8206632,-28.725079,16.5532896,1.83357355,,,,,,,
1618435717,394000000,13.2826219,12.545913,-12.6017064,13.7367795,-26.6239327,15.3432142,1.69578439,,,,,,,
1618435717,444000000,12.2336747,11.5565564,-11.606606,12.6532357,-24.5244015,14.1318204,1.56112291,,,,,,,
1618435717,494000000,11.1881024,10.5654592,-10.6128068,11.5688027,-22.4242055,12.9216455,1.42688027,,,,,,,
1618435717,544000000,10.1374593,9.57363061,-9.61722916,10.4855542,-20.3240535,11.7106362,1.29629403,,,,,,,
1618435717,594000000,9.09060982,8.58254364,-8.62462127,9.40097015,-18.2249287,10.5011067,1.16779862,,,,,,,
1618435717,644000000,8.04329002,7.59458777,-7.62938353,8.31825035,-16.1238978,9.2903653,1.03403322,,,,,,,
1618435717,694000000,7.01258703,6.62070814,-6.64828039,7.24919821,-14.0506514,8.09347351,0.899636083,,,,,,,
1618435717,744000000,6.02381406,5.68690114,-5.71239629,6.22759328,-12.0727662,6.95261198,0.772520838,,,,,,,
1618435717,794000000,5.09788289,4.81044621,-4.83638424,5.27132268,-10.2193177,5.88334699,0.651321037,,,,,,,
1618435717,844000000,4.24729045,4.00415615,-4.02672618,4.38904499,-8.5138166,4.8995316,0.539727405,,,,,,,
1618435717,894000000,3.47459796,3.27547763,-3.2947243,3.59164012,-6.9629975,4.00593799,0.443006516,,,,,,,
1618435717,944000000,2.7808594,2.62517626,-2.63450434,2.87283557,-5.57169988,3.20436518,0.359462359,,,,,,,
1618435717,994000000,2.16558382,2.04009592,-2.04853136,2.23367502,-4.33561161,2.49341242,0.280813984,,,,,,,
1618435718,44000000,1.62701685,1.53394548,-1.53848077,1.67916414,-3.2602753,1.87229349,0.203223039,,,,,,,
1618435718,94000000,1.16839944,1.10029107,-1.10384103,1.20574609,-2.34032961,1.34331895,0.151353839,,,,,,,
1618435718,144000000,0.787558369,0.741450125,-0.7444851,0.811048513,-1.57794984,0.899165733,0.096394732,,,,,,,
1618435718,194000000,0.483669667,0.456801229,-0.456694798,0.499761204,-0.969384168,0.552052692,0.057911682,,,,,,,
1618435718,244000000,0.261261752,0.245846558,-0.243827821,0.269910052,-0.522839364,0.29418984,0.029580688,,,,,,,
1618435718,294000000,0.116307451,0.107195663,-0.106454088,0.11787987,-0.233805542,0.12754097,0.012108994,,,,,,,
1618435718,344000000,0.041315463,0.03616905,-0.035822294,0.038177488,-0.085259401,0.046355438,0.005139544,,,,,,,
1618435718,394000000,0.010697938,0.006790925,-0.007817456,0.005524063,-0.02207153,0.013674544,0.00155525,,,,,,,
1618435718,444000000,0.00706215,0.001311494,0.002667619,0.000387956,-0.01395264,-0.002001569,-4.81E-05,,,,,,,
1618435718,494000000,0.004078675,-0.001572419,0.002622988,0.000236894,-0.00883301,-0.007319644,-0.000693513,,,,,,,
1618435718,544000000,0.001428225,-0.002413556,0.002612688,-5.49E-05,-0.00193359,-0.009482575,-0.001060869,,,,,,,
1618435718,594000000,-0.000672913,-0.002568056,0.00261955,-0.000102994,0.00194458,-0.010478213,-0.001239394,,,,,,,
1618435718,644000000,-0.000621413,-0.002526856,0.00261955,-0.000171663,0.00382324,-0.010876463,-0.001373294,,,,,,,
